NAMESPACE              NAME                                            DESCRIPTION                                                                        PARAMETERS        OBJECTS
openshift              eap64-mysql-s2i                                 An example EAP 6 application with a MySQL database. For more information abou...   39 (19 blank)     10
openshift              eap64-postgresql-persistent-s2i                 An example EAP 6 application with a PostgreSQL database. For more information...   37 (16 blank)     11
openshift              eap64-postgresql-s2i                            An example EAP 6 application with a PostgreSQL database. For more information...   36 (16 blank)     10
openshift              eap64-sso-s2i                                   An example EAP 6 Single Sign-On application. For more information about using...   44 (19 blank)     8
openshift              eap64-third-party-db-s2i                        An example EAP 6 DB application. For more information about using this templa...   30 (7 blank)      8
openshift              eap64-tx-recovery-s2i                           An example EAP 6 application. For more information about using this template,...   18 (5 blank)      8
openshift              eap70-amq-persistent-s2i                        An example EAP 7 A-MQ application. For more information about using this temp...   34 (10 blank)     12
openshift              eap70-amq-s2i                                   An example EAP 7 A-MQ application. For more information about using this temp...   32 (10 blank)     11
openshift              eap70-basic-s2i                                 An example EAP 7 application. For more information about using this template,...   16 (5 blank)      6
openshift              eap70-https-s2i                                 An example EAP 7 application. For more information about using this template,...   26 (11 blank)     8
openshift              eap70-mongodb-persistent-s2i                    An example EAP 7 application with a MongoDB database. For more information ab...   39 (18 blank)     11
openshift              eap70-mongodb-s2i                               An example EAP 7 application with a MongoDB database. For more information ab...   38 (18 blank)     10
openshift              eap70-mysql-persistent-s2i                      An example EAP 7 application with a MySQL database. For more information abou...   40 (19 blank)     11
openshift              eap70-mysql-s2i                                 An example EAP 7 application with a MySQL database. For more information abou...   39 (19 blank)     10
openshift              eap70-postgresql-persistent-s2i                 An example EAP 7 application with a PostgreSQL database. For more information...   37 (16 blank)     11
openshift              eap70-postgresql-s2i                            An example EAP 7 application with a PostgreSQL database. For more information...   36 (16 blank)     10
openshift              eap70-sso-s2i                                   An example EAP 7 Single Sign-On application. For more information about using...   44 (19 blank)     8
openshift              eap70-third-party-db-s2i                        An example EAP 7 DB application. For more information about using this templa...   30 (7 blank)      8
openshift              eap70-tx-recovery-s2i                           An example EAP 7 application. For more information about using this template,...   18 (5 blank)      8
